category_name,category_description,parent_category,is_active,created_date,last_updated
営業手法,営業・顧客対応に関する知見,ビジネス,true,2025-06-25,2025-06-25
技術管理,技術・開発管理に関する知見,技術,true,2025-06-25,2025-06-25
組織運営,組織・チーム運営に関する知見,組織,true,2025-06-25,2025-06-25
コミュニケ,コミュニケーション・対人関係,ビジネス,true,2025-06-25,2025-06-25
プロジェクト,プロジェクト管理・進行,技術,true,2025-06-25,2025-06-25
人材育成,人材育成・教育・指導,組織,true,2025-06-25,2025-06-25
戦略企画,戦略立案・企画業務,ビジネス,true,2025-06-25,2025-06-25
品質管理,品質管理・改善活動,技術,true,2025-06-25,2025-06-25
顧客対応,顧客サービス・サポート,ビジネス,true,2025-06-25,2025-06-25
チーム運営,チームビルディング・運営,組織,true,2025-06-25,2025-06-25
